symbol,gene_id,treatment_splicing_P,time_splicing_P,treatment_over_time_splicing_P,flag_treatment_splicing_P05,flag_time_splicing_P05,flag_trt_over_time_splicing_P05
Dsim\GD11523,FBgn0183264,,,,0,0,0
Dsim\GD11524,FBgn0183265,0.20379153502258,0.88040902475287,0.50809516663152,0,0,0
Dsim\GD11525,FBgn0183266,0.12094278833498,0.14297394568535,0.52581201878051,0,0,0
Dsim\GD11526,FBgn0183267,0.0104353527508,0.57237082903546,0.0021254265979,1,0,1
Dsim\GD11527,FBgn0183268,,,,0,0,0
Dsim\GD11528,FBgn0183269,,,,0,0,0
Dsim\GD11531,FBgn0183272,0.33849926685444,0.19616127572219,0.91042586258415,0,0,0
Dsim\GD11532,FBgn0183273,0.29219742358128,0.41924471025813,0.04195329459254,0,0,1
Dsim\GD11533,FBgn0183274,,,,0,0,0
Dsim\GD11534,FBgn0183275,0.62427728308572,0.24824507110002,0.51779245688732,0,0,0
Dsim\GD11536,FBgn0183277,0.61286366777508,0.55964234283064,0.21188718042446,0,0,0
Dsim\GD11544,FBgn0183285,0.97638509490831,0.56475753971382,0.90400941310699,0,0,0
Dsim\GD11545,FBgn0183286,,,,0,0,0
Dsim\GD11547,FBgn0183288,0.84032081682856,0.08199928881099,0.97734962907293,0,0,0
Dsim\GD11548,FBgn0183289,0.32903257291153,0.37369967781616,0.37369967781616,0,0,0
Dsim\GD11550,FBgn0183291,0.12233216318925,0.34604078044318,0.26441917705698,0,0,0
Dsim\GD11551,FBgn0183292,,,,0,0,0
Dsim\GD11552,FBgn0183293,0.02661402856149,0.17475993261265,0.00281828997739,1,0,1
Dsim\GD11553,FBgn0183294,0.98525383955081,0.59486214730966,0.99892292713476,0,0,0
Dsim\GD11554,FBgn0183295,0.37076193151417,0.30296739263747,0.63974595684767,0,0,0
Dsim\GD11555,FBgn0183296,0.00617348307933,0.81451577795926,0.06029564150726,1,0,0
Dsim\GD11556,FBgn0183297,0.91142353370668,0.21660148344499,0.99535015869542,0,0,0
Dsim\GD11557,FBgn0183298,0.41017421174008,0.03242462009491,0.98583120791996,0,1,0
Dsim\GD11558,FBgn0183299,0.70312276512437,0.52347162536177,0.63746803543485,0,0,0
Dsim\GD11560,FBgn0183301,0.99612105467123,0.95982611732973,0.06484810444206,0,0,0
Dsim\GD11561,FBgn0183302,0.28684268319993,0.12298815400098,0.00747512349544,0,0,1
Dsim\GD11562,FBgn0183303,0.40914149665857,0.34551846103004,0.02108495265372,0,0,1
Dsim\GD11564,FBgn0183305,0.24855589288796,0.93087279474517,0.98740908519923,0,0,0
Dsim\GD11565,FBgn0183306,0.37886639627865,0.67117589904937,0.00302450502954,0,0,1
Dsim\GD11567,FBgn0183308,0.13763645477843,0.42024098114199,0.35811523702623,0,0,0
Dsim\GD11569,FBgn0183310,,,,0,0,0
Dsim\GD11571,FBgn0183312,0.23457191407063,0.04330347955611,0.19314384834968,0,1,0
Dsim\GD11572,FBgn0183313,0.43891833715925,0.28940023346424,0.00431697861258,0,0,1
Dsim\GD11573,FBgn0183314,0.8347586690067,0.06763872446242,0.96717874607265,0,0,0
Dsim\GD11575,FBgn0183316,0.48749071962831,0.2930429866632,0.16965159960036,0,0,0
Dsim\GD11576,FBgn0183317,0.00503858536402,0.63549572051715,0.62923536253619,1,0,0
Dsim\GD11581,FBgn0183322,0.21424673867776,0.06245103859645,0.01045958551596,0,0,1
Dsim\GD11582,FBgn0183323,0.05332529333869,0.31895719831319,0.66893837683406,0,0,0
Dsim\GD11583,FBgn0183324,0.38503816223733,0.41360991695398,0.413609916954,0,0,0
Dsim\GD11586,FBgn0183327,0.3573304102436,0.27787376422712,0.21244238418525,0,0,0
Dsim\GD11587,FBgn0183328,0.00368243522842,0.79355987119869,0.65351830397633,1,0,0
Dsim\GD11588,FBgn0183329,0.33394081794382,0.30938387069404,0.25740329366911,0,0,0
Dsim\GD11590,FBgn0183331,0.31594434276013,0.04935072095,0.00715467095112,0,1,1
Dsim\GD11591,FBgn0183332,0.67394894452854,0.23797755769472,0.83371284096676,0,0,0
Dsim\GD11593,FBgn0183334,0.40733989414167,0.99572016567411,0.81661506155991,0,0,0
Dsim\GD11595,FBgn0183336,0.02171946759978,0.47973215163872,0.98786360725596,1,0,0
Dsim\GD11597,FBgn0183338,0.97786906364838,0.95969600671522,0.39105345219365,0,0,0
Dsim\GD11599,FBgn0183340,0.85133156490026,0.36671662216784,0.95240389201749,0,0,0
Dsim\GD11601,FBgn0183342,0.21283437582105,0.07257511044775,0.05964143864901,0,0,0
Dsim\GD11607,FBgn0183348,0.92969630869052,0.4954147098372,0.43027149296932,0,0,0
Dsim\GD11608,FBgn0183349,0.0515857137004,0.35732528971754,0.09574852323119,0,0,0
Dsim\GD11610,FBgn0183350,0.02571980971408,0.99992612326241,0.99779272391232,1,0,0
Dsim\GD11613,FBgn0183353,0.38964847785488,0.33738352360929,0.89599410164214,0,0,0
Dsim\GD11615,FBgn0183355,0.612489463322,0.88737650669083,0.1809839159875,0,0,0
Dsim\GD11617,FBgn0183357,,,,0,0,0
Dsim\GD11618,FBgn0183358,0.04246549397624,0.1771168966015,0.8866690554594,1,0,0
Dsim\GD11620,FBgn0183360,,,,0,0,0
Dsim\GD11622,FBgn0183362,0.06021256278397,0.33077713031305,0.30623794796882,0,0,0
Dsim\GD11624,FBgn0183364,0.68645277956528,0.0346166573018,0.01992484989573,0,1,1
Dsim\GD11632,FBgn0183372,0.00126466896018,0.77138132635251,0.18809935567292,1,0,0
Dsim\GD11636,FBgn0183376,0.13919058877612,0.43423553722306,0.19998665815306,0,0,0
Dsim\GD11637,FBgn0183377,0.89259103369908,0.17875929995438,0.05059800525153,0,0,0
Dsim\GD11641,FBgn0183381,0.21197266708716,0.97912657282582,0.99432689601214,0,0,0
Dsim\GD11642,FBgn0183382,,,,0,0,0
Dsim\GD11643,FBgn0183383,0.29983546105283,0.56911704399391,0.94301089502175,0,0,0
Dsim\GD11644,FBgn0183384,0.50141285652342,0.10122794524339,0.16563819598995,0,0,0
Dsim\GD11645,FBgn0183385,,,,0,0,0
Dsim\GD11647,FBgn0183387,0.30618853840859,0.98916290974143,0.00620839078195,0,0,1
Dsim\GD11650,FBgn0183390,,,,0,0,0
Dsim\GD11651,FBgn0183391,,,,0,0,0
Dsim\GD11652,FBgn0183392,0.40456703681725,0.88234155565421,0.08543958711765,0,0,0
Dsim\GD11654,FBgn0183394,0.7155633644882,0.33965680329578,0.00079007194294,0,0,1
Dsim\GD11656,FBgn0183396,0.52674621932584,0.72268603344806,0.27610265568963,0,0,0
Dsim\GD11657,FBgn0183397,0.20158785140256,0.28022534617798,0.55589158672987,0,0,0
Dsim\GD11658,FBgn0183398,0.75131547655249,0.86016776582904,0.86016776582906,0,0,0
Dsim\GD11659,FBgn0183399,,,,0,0,0
Dsim\GD11661,FBgn0183401,,,,0,0,0
Dsim\GD11662,FBgn0183402,0.19598094290246,0.53504633912416,0.51300497707595,0,0,0
Dsim\GD11663,FBgn0183403,0.59222175594763,0.31943559430863,0.54457752425633,0,0,0
Dsim\GD11664,FBgn0183404,0.43887769753009,0.78872566704856,0.11076591581826,0,0,0
Dsim\GD11665,FBgn0183405,0.72667388049713,0.70356816473813,0.04680840462874,0,0,1
Dsim\GD11666,FBgn0183406,0.09164227872253,0.23671671884543,0.34930120929121,0,0,0
Dsim\GD11667,FBgn0183407,,,,0,0,0
Dsim\GD11668,FBgn0183408,0.00044774456778,0.51961389880503,0.40863638314201,1,0,0
